experiment,dataset,quantity,polymer_type,model,train_size,split,rmse_mean,rmse_std,mae_mean,mae_std,mse_mean,n_folds,n_samples_mean
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polyBERT,300,train,2.910461921108672,0.7029152591821922,1.834846492767334,0.40252669757269166,8.96487845581475,5,300.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polyBERT,300,val,4.232799798764114,0.12160240673157893,2.5533351371614197,0.05546526566121052,17.93138128174044,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polyBERT,1000,test,3.9203481977998407,0.1245652835250909,2.296191885145448,0.05916428977799025,15.38464650185215,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polyBERT,1000,train,2.3594443681516624,0.5476409455618225,1.4463782745361329,0.2933215571182718,5.866888331658444,5,1000.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polyBERT,1000,val,3.90954055659997,0.08755240934707825,2.301849276281947,0.05620586593355731,15.292172788082478,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polyBERT,3000,test,3.322907342397751,0.08808020286899469,1.8713359503094242,0.034460206799205396,11.04947132829833,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polyBERT,3000,train,1.2248706734519148,0.19034485103557672,0.8688495179494222,0.10329360436571777,1.5365393289983031,5,3000.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polyBERT,3000,val,3.3407940082775385,0.1334194710067609,1.8673678188529805,0.07877393702195058,11.178705360986822,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polyBERT,10000,test,2.4882490276922264,0.07516908238490556,1.4517551837207603,0.029987564096488867,6.197033614757899,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polyBERT,10000,train,0.9855200540974964,0.08466390469951925,0.741639501361847,0.06351600327753852,0.9784177537873016,5,10000.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polyBERT,10000,val,2.4039332318495195,0.07337587596876738,1.413669918389629,0.033173606761916344,5.784279002364659,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polymer_chemprop,300,test,3.9332664734216523,0.06298038507399312,,,,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polymer_chemprop,1000,test,2.4209438078156085,0.07704428713575054,,,,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polymer_chemprop,3000,test,1.7037051149816846,0.053682426997541284,,,,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polymer_chemprop,10000,test,1.3049438063362415,0.011735100777868133,,,,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polymer_periodic_graph,300,test,3.9719839380131163,0.07634123111030362,,,,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polymer_periodic_graph,1000,test,3.454688407465054,0.28061224966270787,,,,5,2780.0
MD_5000/Rg/alternating_Rg/seed_42,MD_5000,Rg,alternating,polymer_periodic_graph,3000,test,1.9666680267156416,0.08475172471997179,,,,5,2780.0
